label,id
-14,7244
8,10427
4,8828
-12,3071
-16,3790
3,12320
-16,2726
7,3595
-5,7290
-16,11481
8,6284
9,10879
-6,10337
5,6088
-16,3330
-16,8932
-10,7931
-3,10864
-12,924
-7,1663
7,4300
7,12012
-17,9091
4,11975
8,1232
-4,9841
1,11327
-15,428
8,5784
-18,5541
8,1086
-14,2688
-13,6991
-14,3290
-13,9729
7,9873
8,2895
6,11279
2,2594
-16,2188
2,7998
6,10501
-7,976
-7,3460
3,3909
-16,720
3,9345
-3,349
-15,1827
8,8350
7,10758
7,4289
-11,11299
3,7667
-12,4365
7,1144
-18,4296
9,10990
-9,9320
-15,3456
-5,606
6,4998
-17,4994
8,10998
11,9396
-9,4505
-16,10267
-14,6826
8,4319
-8,3517
-17,8462
-2,1936
-1,7860
3,6192
4,4409
-18,1303
7,1506
6,6217
-11,4514
-6,5352
-11,11914
5,4415
7,5610
-1,7622
-13,9467
9,718
-16,1740
2,6085
-17,107
-13,7919
-16,11323
3,5165
0,9569
-16,5334
6,5852
7,11093
-1,7487
-16,6894
1,8987
-16,4495
5,7538
-6,213
-17,11463
6,298
3,5383
-1,5061
6,4049
2,3928
1,9851
0,1087
-17,11075
-2,10837
-5,8258
3,6294
5,7553
-3,2365
-15,6705
6,1685
7,3956
-15,10746
-16,7943
8,6073
-13,2218
6,2280
2,2067
3,2433
-15,5709
0,5121
9,3260
-6,9234
-12,1511
2,3261
5,4344
0,11892
2,6733
-5,8517
-16,8555
-10,10987
8,8169
7,12491
8,11825
5,415
-12,11578
8,2737
4,2648
-8,3392
-16,4529
3,2114
3,3338
-13,1164
-10,2883
9,5450
0,11208
-9,1302
10,6999
-12,10170
5,848
-16,10397
-13,7731
10,5035
-10,3573
-14,8690
-13,10161
4,8430
-14,2779
7,9285
-15,8533
-3,9311
8,4126
-15,4530
5,548
-9,2225
5,10159
-17,7535
-17,2233
-14,3379
-14,2906
8,2476
9,1653
-17,260
-14,10201
7,5966
-2,7952
2,5778
2,11711
