10k,name,division,25k,gender,age,official,bib,genderdiv,ctz,35k,overall,pace,state,30k,5k,half,20k,country,city,40k
17.37,"Yamamoto, Hiroyuki",8,47.67,M,47,85.25,W1,8,,71.40,8,3.27,,59.18,8.02,39.72,37.65,JPN,Fukuoka,80.43
32.58,"Jeptoo, Rita",1,82.43,F,33,138.95,F1,1,,116.37,21,5.30,,99.33,16.22,69.47,65.83,KEN,Eldoret,132.10
16.62,"Van Dyk, Ernst F.",1,45.80,M,41,80.60,W2,1,,67.42,1,3.08,,56.45,7.75,38.03,36.10,RSA,Paarl,76.10
32.57,"Dibaba, Mare",3,82.43,F,24,140.58,F2,3,,116.37,27,5.37,,99.33,16.20,69.47,65.83,ETH,Shoa,132.95
17.12,"Hokinoue, Kota",2,46.37,M,40,81.23,W3,2,,67.83,2,3.10,,57.03,8.02,38.60,36.58,JPN,Nogata Fukuoka,76.72
32.58,"Sumgong, Jemima Jelagat",4,82.45,F,29,140.68,F3,4,,116.37,28,5.37,,99.33,16.22,69.47,65.83,KEN,Nandi,132.95
17.65,"Hug, Marcel E.",4,47.67,M,28,84.65,W4,4,,70.23,4,3.23,,58.60,8.38,39.72,37.65,SUI,Neuenkirch,79.83
30.48,"Geneti, Markos",5,76.95,M,29,129.83,5,5,,107.47,5,4.97,,92.52,15.17,64.85,61.62,ETH,Addis Ababa,122.80
17.12,"Soejima, Masazumi",3,46.37,M,43,81.23,W6,3,,67.83,3,3.10,,57.03,8.00,38.60,36.60,JPN,Isahaya,76.70
30.48,"Hall, Ryan",20,77.68,M,31,137.83,6,20,,112.27,20,5.27,CA,94.78,15.15,65.23,61.78,USA,Redding,129.83
32.58,"Cherop, Sharon",8,82.45,F,30,143.00,F6,8,,116.92,40,5.47,,99.35,16.22,69.47,65.85,KEN,Marakwet,134.65
30.52,"Chebet, Wilson",2,76.97,M,28,128.80,7,2,,107.47,2,4.92,,92.52,15.18,64.87,61.63,KEN,Marakwet,121.95
18.13,"Lemeunier, Denis Sr.",11,49.17,M,49,86.95,W7,11,,72.60,11,3.32,,60.85,8.40,41.18,39.03,FRA,Taule,82.17
32.58,"Kilel, Caroline",17,85.55,F,33,152.07,F7,17,,124.22,121,5.80,,104.62,16.22,71.10,67.15,KEN,Bomet,143.50
17.12,"Cassidy, Josh R.",13,48.88,M,29,87.40,W8,13,,72.83,13,3.35,ON,60.82,8.02,40.20,38.02,CAN,Port Elgin,82.38
33.93,"Linden, Desiree",10,85.03,F,30,143.90,F8,10,,119.68,46,5.50,MI,102.40,16.92,71.68,67.92,USA,Rochester Hills,136.47
17.13,"Madera, Jordi",5,47.45,M,34,84.70,W9,5,,70.60,5,3.23,,58.73,8.02,39.12,36.98,ESP,Les Franquesas,79.92
32.57,"Deba, Buzunesh",2,82.43,F,26,139.98,F10,2,,116.38,25,5.35,,99.35,16.20,69.47,65.83,ETH,Arsi,132.65
18.17,"Hamerlak, Tomasz",7,49.15,M,38,84.88,W10,7,,70.83,7,3.25,,59.92,8.67,41.20,39.05,POL,Bystra,80.18
34.80,"Petrova Arkhipova, Tatiana",13,87.83,F,31,150.48,F11,13,,124.53,102,5.75,,106.03,17.32,73.95,70.10,RUS,Cheboksary,142.68
30.50,"Chepkwony, Frankline",3,76.95,M,29,128.83,11,3,,107.47,3,4.92,,92.52,15.18,64.90,61.63,KEN,Koibatek,122.22
33.23,"Duliba, Aleksandra",6,83.40,F,26,141.48,F12,6,,117.65,34,5.40,,100.58,16.47,70.25,66.57,BLR,Minsk,134.20
30.50,"Kogo, Micah",17,76.97,M,27,137.20,12,17,,109.12,17,5.23,,92.52,15.17,64.88,61.62,KEN,Eldoret,128.18
18.17,"Botello Jimenez, Rafael",12,49.15,M,35,86.95,W12,12,,72.70,12,3.32,,60.87,8.68,41.20,39.05,ESP,Manlleu,82.17
18.30,"Filteau, Michel",14,50.33,M,47,89.40,W13,14,,74.95,14,3.42,QC,62.33,8.67,41.80,39.63,CAN,St-Jean Baptiste,84.48
33.02,"Esayias, Yeshi",12,85.03,F,28,147.67,F14,12,,121.60,71,5.63,,102.92,16.22,71.45,67.62,ETH,Arsi,139.70
30.53,"Annani, Adil",10,76.97,M,33,132.72,14,10,,109.15,10,5.07,,92.60,15.18,64.88,61.63,MAR,Marrakesh,125.23
18.78,"Kim, Gyu Dae",15,50.33,M,30,89.52,W14,15,KOR,75.02,15,3.42,IL,62.72,8.98,41.82,39.65,USA,Champaign,84.75
33.02,"Ongori, Philes",9,83.43,F,27,143.37,F15,9,,118.40,42,5.48,,100.80,16.35,70.27,66.58,KEN,Kisii,135.67
30.52,"Lonyangata, Paul",9,76.97,M,31,132.57,15,9,,108.17,9,5.07,,92.52,15.18,64.90,61.63,KEN,Eldoret,124.98
18.75,"George, Joshua",6,49.15,M,30,84.82,W15,6,,70.83,6,3.25,IL,59.92,8.93,41.18,39.08,USA,Champaign,80.18
